gene_id	gene_name	KO.F_1	KO.F_2	KO.M_1	KO.M_2	WT.F_1	WT.F_2	WT.M_1	WT.M_2
ENSMUSG00000000168	Dlat	37.312874	39.103061	44.655864	40.865293	53.021268	44.736514	52.180566	50.251674
ENSMUSG00000000171	Sdhd	165.140738	153.779354	138.843841	168.75342	165.776402	161.766658	164.1558	167.906302
ENSMUSG00000000182	Fgf23	0	0	0	0	0	0	0	0
ENSMUSG00000000183	Fgf6	0	0	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	22.793255	24.536188	10.412865	13.820434	4.855144	9.317892	7.175788	1.955119
ENSMUSG00000000194	Gpr107	36.813979	35.873101	33.997294	33.897541	37.217916	34.985746	39.576556	37.690055
ENSMUSG00000000197	Nalcn	0	0	0	0	0	0	0	0
ENSMUSG00000000202	Btbd17	0	0	0	0	0.161055	0	0	0
ENSMUSG00000000204	Slfn4	1.614617	3.815765	4.260074	2.652963	3.197316	3.309357	1.174698	1.939117
ENSMUSG00000000214	Th	0	0	0	0	0	0	0	0
ENSMUSG00000000215	Ins2	0	0	0	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	0	0	0	0	0	0	0	0
ENSMUSG00000000223	Drp2	0.223932	0.332727	0.178306	0.447775	0.603405	0.533737	0.299733	0.470987
ENSMUSG00000000244	Tspan32	55.718254	44.741913	61.032702	42.465178	25.269805	27.685589	27.904429	27.147138
ENSMUSG00000000247	Lhx2	0.219319	0.749507	1.172618	0.413164	0.394603	0.479668	0.532379	0.645716
ENSMUSG00000000248	Clec2g	0.131111	0.215047	0.173918	0.114002	0.033702	0.038227	0.043323	0.081269
ENSMUSG00000000253	Gmpr	8.805926	7.275737	4.895567	9.583997	17.164944	18.183319	15.460465	15.345358
ENSMUSG00000000263	Glra1	0	0	0	0	0	0	0	0
ENSMUSG00000000266	Mid2	0	0	0	0	0.039243	0	0	0
ENSMUSG00000000275	Trim25	52.088259	54.019507	67.013123	48.984452	87.109542	75.162354	64.136535	66.831866
ENSMUSG00000000276	Dgke	5.129839	4.70514	4.832576	5.980854	6.523144	6.191838	5.640459	6.780464
ENSMUSG00000000278	Scpep1	150.73739	155.234541	144.299378	168.359287	178.986378	183.508629	152.427044	165.416297
ENSMUSG00000000282	Mnt	28.528531	29.204619	33.690137	31.466596	26.760107	25.062933	22.436193	26.760264
ENSMUSG00000000290	Itgb2	818.936443	804.158636	815.838816	693.615231	497.21377	482.159886	496.913578	545.241099
ENSMUSG00000000295	Hddc2	18.089667	16.652867	11.284809	15.61557	21.384768	20.130646	19.166255	22.28138
ENSMUSG00000000296	Tpd52l1	0.149436	0.086018	0	0	0	0	0	0
ENSMUSG00000000301	Pemt	4.633505	4.392465	7.564179	4.753218	7.619961	7.998812	5.407859	7.489491
ENSMUSG00000000303	Cdh1	11.858846	11.888195	18.556682	8.100682	1.72976	1.141971	1.089597	1.298308
ENSMUSG00000000305	Cdh4	0	0	0.015606	0	0	0	0.015547	0
ENSMUSG00000000308	Ckmt1	0	0	0	0	0	0	0	0
ENSMUSG00000000317	Bcl6b	0.335802	0.200323	0.394914	0.15925	0.164767	0.267103	0.272399	0.312201
ENSMUSG00000000318	Clec10a	5.955751	6.047554	2.101199	5.672952	7.987416	4.045415	2.422129	4.454652
ENSMUSG00000000320	Alox12	0	0.028273	0	0	0	0	0	0
ENSMUSG00000000325	Arvcf	1.357906	2.675924	1.270616	3.638102	4.896827	2.081342	2.884711	1.792702
ENSMUSG00000000326	Comt	105.174423	97.791267	91.506441	102.002632	76.921047	79.259692	88.042758	81.781741
ENSMUSG00000000339	Rtca	34.873227	36.94245	35.86951	36.180495	36.501576	34.915126	35.718756	36.899454
ENSMUSG00000000340	Dbt	10.937968	14.473647	11.318408	14.602393	13.864011	15.162686	15.92212	18.466631
ENSMUSG00000000346	Dazap2	362.140699	355.267287	331.584866	367.663074	299.727479	314.558069	293.249818	313.87387
ENSMUSG00000000355	Mcts1	70.755122	77.134596	67.943024	79.402216	72.519516	65.654511	73.40336	67.424385
ENSMUSG00000000359	Rem1	0	0.062927	0.640222	0	0.059221	0	0	0
ENSMUSG00000000365	Rnf17	1.321761	1.967045	0.572616	0.31618	1.067744	1.665017	0.322669	2.633688
ENSMUSG00000000374	Trappc10	53.44454	52.192424	59.86045	48.059972	49.46069	51.971766	52.179033	52.369092
ENSMUSG00000000378	Ccm2	44.643181	48.622382	46.752598	49.032326	41.593494	43.398528	40.226942	40.432182
ENSMUSG00000000381	Wap	0	0	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	58.760437	60.485446	58.839042	49.643769	59.040586	57.212508	72.331457	64.87407
ENSMUSG00000000385	Tmprss2	0	0	0	0	0	0	0	0
ENSMUSG00000000392	Fap	0	0	0.192662	0.042101	0.366795	0.117108	0	0.100932
ENSMUSG00000000394	Gcg	0	0	0	0	0	0	0	0
ENSMUSG00000000399	Ndufa9	79.614266	83.727795	76.248423	82.860249	93.746909	86.697439	94.12031	96.711737
ENSMUSG00000000402	Egfl6	0	0	0	0	0	0	0	0
ENSMUSG00000000409	Lck	0.102598	0.08413	0	0.044607	0.599293	0.22431	0.404781	0.047698
ENSMUSG00000000411	Tssk3	0	0	0	0	0.06802	0.077034	0	0
ENSMUSG00000000416	Cttnbp2	0	0	0	0	0	0	0	0
ENSMUSG00000000420	Galnt1	63.726818	62.768992	62.51063	61.118228	56.69629	57.099174	52.711903	59.790351
ENSMUSG00000000435	Myf5	0	0	0	0	0	0	0	0
ENSMUSG00000000439	Mkrn2	15.618981	12.257084	16.306687	20.226985	18.657863	22.926185	18.231335	19.432301
ENSMUSG00000000440	Pparg	11.444465	13.517506	12.274831	13.727041	18.901823	13.728283	13.578343	12.820265
ENSMUSG00000000441	Raf1	70.510986	71.133649	81.582678	72.200355	62.053282	62.96239	63.301352	65.419309
ENSMUSG00000000486	Sept1	1.336366	1.773715	2.05069	2.410463	1.187515	1.350038	1.203253	0.673978
ENSMUSG00000000489	Pdgfb	67.097656	62.532845	36.487384	67.309829	50.076031	50.454897	59.139307	58.994148
ENSMUSG00000000530	Acvrl1	21.305831	21.120014	20.826478	18.830003	18.156648	19.007584	18.385976	19.57064
ENSMUSG00000000531	Grasp	0.94376	0.77387	0.417235	0.592695	1.091767	0.641911	1.195292	1.023771
ENSMUSG00000000532	Acvr1b	24.358729	25.632826	24.859553	23.213128	20.302529	19.408113	20.237305	23.392952
ENSMUSG00000000538	Tom1l2	13.11931	14.274241	13.446002	15.345189	12.517612	13.152302	11.997393	15.674284
ENSMUSG00000000544	Gpa33	0	0	0	0	0	0	0	0
ENSMUSG00000000552	Zfp385a	96.739036	91.312402	95.764626	75.605804	55.325091	58.057159	62.364183	66.354005
ENSMUSG00000000555	Itga5	105.421144	103.577644	135.247693	90.307973	110.274988	107.159198	133.716404	148.726101
ENSMUSG00000000560	Gabra2	0	0	0	0	0	0	0	0
ENSMUSG00000000561	Wdr77	46.420596	43.524014	42.707966	34.927662	39.235595	39.343997	46.43084	54.190788
ENSMUSG00000000562	Adora3	5.894968	4.476702	7.7805	3.608337	2.409499	3.163456	4.4312	3.01228
ENSMUSG00000000563	Atp5f1	258.65021	250.201128	249.977003	269.682204	271.189667	270.881115	283.224297	268.218183
ENSMUSG00000000567	Sox9	0	0	0	0	0	0.021526	0	0.045739
ENSMUSG00000000568	Hnrnpd	338.694357	360.052538	343.096573	360.253408	306.65397	320.410173	311.610127	323.337195
ENSMUSG00000000579	Dynlt1c	22.254073	17.204338	22.940333	20.298269	17.573398	9.060736	11.953287	13.209326
ENSMUSG00000000581	C1d	86.695302	81.218186	87.109054	94.27862	83.823426	91.738935	90.597935	88.409185
ENSMUSG00000000594	Gm2a	224.403109	206.488319	213.220372	165.844471	89.016071	91.757867	85.173057	91.159106
ENSMUSG00000000600	Krit1	27.300025	28.027094	30.873403	24.294775	22.728865	20.576461	19.956853	21.996105
ENSMUSG00000000605	Clcn4	42.061378	41.215072	47.993098	37.417792	32.639293	33.633384	37.503455	37.15445
ENSMUSG00000000606	Vmn2r88	0	0	0	0	0	0	0	0
ENSMUSG00000000617	Grm6	0	0	0	0	0	0	0	0
ENSMUSG00000000627	Sema4f	0	0	0.145466	0	0.019204	0	0	0.046312
ENSMUSG00000000628	Hk2	37.812264	37.001374	42.617902	29.71978	24.704804	26.662605	27.219012	30.065232
ENSMUSG00000000631	Myo18a	24.098646	23.449536	29.719254	24.826589	23.00728	26.126036	25.157573	26.86719
ENSMUSG00000000632	Sez6	0	0	0	0	0	0	0	0
ENSMUSG00000000673	Haao	24.759097	21.292191	21.655112	25.743767	8.760604	13.545641	10.824403	9.413921
ENSMUSG00000000682	Cd52	1442.007666	1418.515195	1381.326013	1367.981574	796.722756	901.261487	813.464527	708.118187
ENSMUSG00000000686	Abhd15	23.149218	16.255204	28.366281	19.464162	7.249012	11.958347	7.533162	7.028685
ENSMUSG00000000690	Hoxb6	0	0	0	0	0	0	0	0
ENSMUSG00000000693	Loxl3	2.430325	1.512151	1.013188	2.766404	4.981069	5.620235	2.583969	2.392919
ENSMUSG00000000701	Tcl1b5	0	0	0	0	0	0	0	0
ENSMUSG00000000706	Btn1a1	0	0	0	0	0	0	0	0
ENSMUSG00000000708	Kat2b	25.745927	27.764774	24.847658	30.510008	28.327792	27.155263	23.021764	24.631733
ENSMUSG00000000711	Rab5b	95.664118	92.230484	93.47733	90.906723	76.723935	82.458706	79.453196	83.897461
ENSMUSG00000000724	Cryba1	0	0	0	0	0	0	0	0
ENSMUSG00000000730	Dnmt3l	8.703062	6.508351	10.999877	7.295367	11.338101	12.547426	18.693036	15.081939
ENSMUSG00000000731	Aire	0	0.028627	0.066722	0	0	0	0	0
ENSMUSG00000000732	Icosl	48.722468	49.250693	46.360647	45.40825	24.225493	26.056746	27.213584	25.639238
ENSMUSG00000000738	Spg7	49.741611	59.716182	58.471524	56.354441	47.242778	49.765232	41.014043	46.083654
ENSMUSG00000000739	Sult5a1	0	0	0	0	0	0	0	0
ENSMUSG00000000740	Rpl13	2017.144182	2060.943225	1773.266061	2073.329382	1823.918439	1817.007276	1815.147582	1749.288248
ENSMUSG00000000743	Chmp1a	103.323994	99.308638	103.931327	85.191587	92.039691	99.760274	94.169294	94.560748
ENSMUSG00000000751	Rpa1	185.798893	174.416553	180.121221	182.945687	178.275067	171.539154	172.712467	169.378463
ENSMUSG00000000753	Serpinf1	0.551236	0.498168	0.345523	0.1199	0.663933	0.424763	0.869676	0.811269
ENSMUSG00000000759	Tubgcp3	32.167438	33.896306	36.441197	39.544301	30.240449	31.849544	34.100709	28.737673
ENSMUSG00000000766	Oprm1	0	0	0	0	0	0	0	0
ENSMUSG00000000776	Polr3d	13.627275	14.306198	12.862147	15.700389	20.846155	16.692302	21.092183	20.641443
ENSMUSG00000000782	Tcf7	0	0.05097	0.06183	0.054063	0.04795	0	0.123228	0
ENSMUSG00000000787	Ddx3x	202.276789	194.206641	188.445175	198.329614	194.001878	190.613719	194.726803	195.33874
ENSMUSG00000000791	Il12rb1	1.739573	0.918026	0.226636	0.219751	0.96028	1.772818	0.510411	0.503539
ENSMUSG00000000792	Slc5a5	0	0	0	0	0.027285	0	0	0
ENSMUSG00000000794	Kcnn3	0	0	0	0	0	0	0	0
ENSMUSG00000000804	Usp32	15.035738	15.38032	17.890427	15.509754	15.423494	16.532336	12.041525	15.659509
ENSMUSG00000000805	Car4	0	0	0	0	0	0	0	0
ENSMUSG00000000811	Txnrd3	2.473532	2.101772	1.748399	2.323562	3.839054	3.042462	3.9196	3.778014
ENSMUSG00000000817	Fasl	0	0	0	0	0	0.048346	0	0
ENSMUSG00000000823	Zfp512b	13.851373	14.651842	15.878169	16.772582	17.051101	12.550574	13.629229	17.756753
ENSMUSG00000000826	Dnajc5	61.517448	63.222535	63.077644	61.768753	60.185466	67.162028	56.742862	71.869626
ENSMUSG00000000827	Tpd52l2	66.43186	65.416151	67.009077	60.603027	64.86381	67.212581	60.496197	75.198528
ENSMUSG00000000838	Fmr1	31.430356	31.521387	33.41422	36.011371	30.377597	27.982963	27.759402	25.538728
ENSMUSG00000000861	Bcl11a	0.4725	0.480532	0.066706	0.132153	0.910486	0.127781	0	0
ENSMUSG00000000869	Il4	0	0	0	0	0	0	0	0
ENSMUSG00000000876	Pxmp4	15.104214	14.644683	11.237995	13.015892	10.632566	12.504627	11.672873	10.417564
ENSMUSG00000000881	Dlg3	0.773777	0.601179	1.138225	0.609483	0.718391	1.085994	0.626812	0.816416
ENSMUSG00000000884	Gnb1l	2.856601	3.242045	4.650025	4.053834	6.325766	4.678352	6.214547	4.039372
ENSMUSG00000000889	Dbh	0	0	0	0	0	0	0	0
ENSMUSG00000000901	Mmp11	0	0	0.059883	0.307355	0.21332	0.443555	0.228502	0.22394
ENSMUSG00000000902	Smarcb1	65.331631	67.829752	57.44368	61.860413	61.241655	64.766903	68.531318	61.409121
ENSMUSG00000000903	Vpreb3	0	0	0	0	0	0	0	0
ENSMUSG00000000915	Hip1r	0.611149	0.449818	0.221707	0.477634	0.538037	0.233952	0.279776	0.492621
ENSMUSG00000000916	Nsun5	10.871329	14.286921	14.930727	12.286751	13.199915	11.891403	13.48036	12.839933
ENSMUSG00000000934	Top1mt	6.70874	5.084722	4.766335	6.832114	7.1307	7.443675	8.213873	6.736053
ENSMUSG00000000938	Hoxa10	0	0	0	0	0	0	0	0
ENSMUSG00000000942	Hoxa4	0.755192	0.844221	1.501986	0.895573	1.059115	1.260294	0.408214	1.021438
ENSMUSG00000000948	Gm38393	0	0	0	0	0	0	0	0
ENSMUSG00000000957	Mmp14	7.351207	14.003727	4.163495	10.657558	6.68299	13.349324	12.349267	18.565166
ENSMUSG00000000958	Slc7a7	20.776569	14.509755	16.127941	16.884387	15.023625	16.990859	21.453754	19.231064
ENSMUSG00000000959	Oxa1l	38.850641	40.779837	39.360461	52.152682	40.848015	43.361341	41.115311	37.462975
ENSMUSG00000000976	Heatr6	18.383272	17.685537	19.892155	16.550986	17.540435	17.72765	18.509074	17.003923
ENSMUSG00000000982	Ccl3	22.256678	31.040261	18.167474	41.030619	156.312542	132.422842	142.95283	119.47555
ENSMUSG00000000983	Wfdc18	0	0.552532	0.278753	0	0	0	0.556253	0
ENSMUSG00000001014	Icam4	0.856782	0.300775	0.364808	0.515961	0.264425	0.93024	0.339381	0.455368
ENSMUSG00000001016	Ilf2	72.367761	67.300701	71.798638	70.160291	75.198983	70.373931	78.414145	70.708936
ENSMUSG00000001017	Chtop	87.148598	84.943772	94.755858	90.439716	81.743178	84.193202	81.539842	75.948255
ENSMUSG00000001018	Snapin	42.948824	40.587266	39.568285	48.585126	37.994807	44.77821	41.229608	39.301874
ENSMUSG00000001020	S100a4	6415.740978	6207.307374	7964.909403	5231.679404	4936.162097	4686.716746	4487.173871	4250.352466
ENSMUSG00000001021	S100a3	0	0.238069	0.865912	0	0.22529	0.316359	0.359132	0.168809
ENSMUSG00000001023	S100a5	0.391335	0.319451	0	0	0	0.680232	0	0.729821
ENSMUSG00000001025	S100a6	1910.743094	1749.618584	2033.270549	1532.028262	1313.46171	1263.974577	1268.647211	1262.044063
ENSMUSG00000001027	Scn4a	0.060664	0	0.015096	0	0	0	0	0
ENSMUSG00000001029	Icam2	25.628615	33.631245	21.663425	21.716985	34.470103	26.148445	26.614706	29.61282
ENSMUSG00000001034	Mapk7	24.086586	25.556747	25.49089	25.745703	19.83958	21.247159	18.406048	19.951902
ENSMUSG00000001036	Epn2	0.144959	0.775454	0.738091	0.315066	1.040619	1.226239	0.862384	1.100592
ENSMUSG00000001039	B9d1	2.1247	1.491105	0.150701	2.845502	3.749148	2.780376	4.58832	3.937906
ENSMUSG00000001052	Sec24b	80.110422	85.570534	82.387944	74.879412	74.982019	73.233012	67.585404	76.971061
ENSMUSG00000001053	N4bp3	14.121773	11.69325	11.835736	10.742585	4.979387	6.062014	5.228176	6.608986
ENSMUSG00000001054	Rmnd5b	55.4309	56.61146	54.318407	54.47425	30.242968	28.58445	31.295841	29.707055
ENSMUSG00000001056	Nhp2	117.432068	123.699759	105.087003	111.993153	153.839377	134.5936	165.981183	148.531794
ENSMUSG00000001062	Vps9d1	40.049306	43.27746	38.408769	26.131637	19.546928	21.108373	26.011916	23.358862
ENSMUSG00000001065	Zfp276	22.072765	19.437232	17.702755	16.602106	11.668009	14.153212	17.091933	16.638208
ENSMUSG00000001076	C1ql4	0	0	0	0	0.115704	0	0	0
ENSMUSG00000001082	Mfsd10	84.081905	85.913376	86.378319	74.731075	72.724146	70.847385	75.569808	71.431053
ENSMUSG00000001089	Luzp1	26.683772	22.406776	39.637731	28.088471	28.860798	37.85872	42.64192	41.114244
ENSMUSG00000001095	Slc13a2	0.522569	0.571408	0.30327	0.189324	0.470141	0.647533	0.302179	0.364402
ENSMUSG00000001098	Kctd10	72.972618	70.922836	72.313356	72.104243	65.310143	61.696972	72.440032	67.978173
ENSMUSG00000001100	Poldip2	31.239764	32.382543	28.911786	31.948151	35.755298	31.360458	36.759058	35.972066
ENSMUSG00000001103	Sebox	0	0	0	0	0	0	0	0
ENSMUSG00000001105	Ift20	43.610925	48.701482	45.969809	41.003741	47.478948	46.293946	46.107221	51.060737
ENSMUSG00000001119	Col6a1	0	0	0	0	0	0	0	0
ENSMUSG00000001120	Pcbp3	6.286041	5.73695	3.548624	3.724482	5.415262	4.606676	4.464094	3.934817
ENSMUSG00000001123	Lgals9	107.478327	110.954397	105.572131	90.589653	140.488742	158.379275	105.966924	114.674481
ENSMUSG00000001127	Araf	64.424225	54.98677	55.367249	53.264132	45.581687	46.414584	49.687689	48.54552
ENSMUSG00000001128	Cfp	677.981683	757.77233	455.624056	526.794601	406.546342	420.892494	401.709949	375.625338
ENSMUSG00000001131	Timp1	6.235487	3.810968	4.555574	3.82232	6.337827	4.297411	5.222692	5.258602
ENSMUSG00000001134	Uxt	28.98624	31.871969	39.591568	24.011612	35.156273	28.991324	40.458869	24.803246
ENSMUSG00000001138	Cnnm3	20.41467	20.628933	24.446085	21.795676	17.050022	21.426724	16.243712	16.703612
ENSMUSG00000001143	Lman2l	33.556233	27.260161	32.606208	32.132496	24.848645	25.793347	28.596922	32.288653
ENSMUSG00000001150	Mcm3ap	23.568822	26.121562	26.825815	22.786106	21.209942	23.293731	21.460212	23.211154
ENSMUSG00000001151	Pcnt	27.811367	24.264544	29.713499	29.106238	24.302459	28.554314	20.835392	25.591514
ENSMUSG00000001155	Ftcd	0	0	0	0	0	0	0	0
ENSMUSG00000001156	Mxd1	6.175799	9.06346	5.602729	7.125609	5.643953	5.814308	4.776555	7.04993
ENSMUSG00000001157	Gmcl1	16.710824	16.10604	18.299686	19.827914	16.797118	17.225215	14.376848	13.788131
ENSMUSG00000001158	Snrnp27	53.353649	53.880619	48.002208	59.449639	63.363196	62.568791	62.474549	59.385731
ENSMUSG00000001166	Oas1c	4.354712	5.839125	3.801389	3.442652	3.550284	5.033561	3.103229	3.167581
ENSMUSG00000001168	Oas1h	0	0	0	0	0	0	0	0
ENSMUSG00000001173	Ocrl	22.300856	20.931879	22.122862	21.177407	18.807154	21.517044	19.11908	21.254143
ENSMUSG00000001175	Calm1	1209.196863	1237.860744	1128.448405	1187.589598	1492.590552	1425.361748	1453.852859	1488.908805
ENSMUSG00000001211	Agpat3	22.435721	22.248903	14.823061	25.205697	28.37062	32.955723	29.060135	33.751822
ENSMUSG00000001225	Slc26a3	0	0	0	0	0	0	0	0
ENSMUSG00000001227	Sema6b	20.213277	19.84579	17.03182	20.92324	17.660789	17.960488	18.374037	18.908594
ENSMUSG00000001228	Uhrf1	121.100508	124.309156	110.24585	133.72475	142.940383	145.354771	123.599999	128.533346
ENSMUSG00000001229	Dpp9	54.743864	56.513181	56.040481	54.687558	54.175297	52.212886	53.236399	55.945184
ENSMUSG00000001240	Ramp2	0.134572	0	0	0	0.300842	0.490162	0.134741	0
ENSMUSG00000001247	Lsr	50.888703	49.021371	67.645134	57.358443	8.54242	6.995583	5.883799	7.352043
ENSMUSG00000001248	Gramd1a	44.744452	43.549687	47.257638	51.933262	38.382259	51.067475	39.757991	38.666893
ENSMUSG00000001249	Hpn	0.434905	0.649931	0.432536	0.190153	0.317793	0.935778	0.615747	1.240543
ENSMUSG00000001260	Gabrg1	0	0	0	0	0	0	0	0
ENSMUSG00000001270	Ckb	556.300551	541.478791	463.552565	552.456041	779.958692	692.505907	777.32579	686.199347
ENSMUSG00000001280	Sp1	42.915775	43.879114	46.472548	49.947176	38.894853	43.099298	35.721803	38.643195
ENSMUSG00000001281	Itgb7	647.661555	686.301351	699.552422	483.880709	209.253654	170.731452	137.024877	131.236514
ENSMUSG00000001285	Myg1	50.401349	56.551355	47.06311	53.199853	49.681172	61.87638	50.831816	52.559918
ENSMUSG00000001288	Rarg	33.261279	36.06574	29.935411	24.108789	13.037106	11.561407	12.114335	12.350369
ENSMUSG00000001289	Pfdn5	303.002583	325.079201	261.066924	328.696521	266.521088	280.193842	262.260152	266.367876
ENSMUSG00000001300	Efnb2	0.393151	0.103829	0.581358	0.032046	0.065051	0.092302	0.408938	0.078442
ENSMUSG00000001305	Rrp15	29.390425	31.593882	25.529012	27.049087	32.24413	30.405794	32.721291	32.193545
ENSMUSG00000001313	Rnd2	3.001849	2.947753	5.164552	4.656973	5.049378	3.273554	4.676223	4.695119
ENSMUSG00000001323	Srr	9.030324	4.767438	8.190192	10.610604	7.311532	6.903788	7.233304	10.167453
ENSMUSG00000001333	Sync	0	0	0	0	0	0	0	0
ENSMUSG00000001334	Fndc5	0	0	0	0	0	0	0	0
ENSMUSG00000001348	Acp5	26.484402	19.751031	24.526117	12.320187	12.567489	11.243391	7.324158	14.896746
ENSMUSG00000001349	Cnn1	0	0	0	0	0	0	0	0
ENSMUSG00000001366	Fbxo9	20.617626	25.685977	30.661257	20.373812	17.245342	22.370405	22.807869	21.003794
ENSMUSG00000001376	Vps50	23.95884	27.635249	27.255669	24.000106	29.152481	26.811536	32.373541	25.841536
ENSMUSG00000001380	Hars	82.384675	87.975977	88.825748	76.51409	95.334792	101.192467	102.307189	95.894641
ENSMUSG00000001383	Zmat2	65.511285	69.229014	63.138231	76.717211	71.646828	64.789515	72.588916	63.773175
ENSMUSG00000001403	Ube2c	259.194181	251.153445	221.855581	276.965523	277.614172	271.544433	290.5528	280.215193
ENSMUSG00000001415	Smg5	54.151441	60.97094	60.439817	47.850815	53.534663	57.559372	53.263479	53.631437
ENSMUSG00000001416	Cct3	160.55775	169.913122	148.993	141.603002	189.269016	178.391036	188.292921	196.489657
ENSMUSG00000001418	Glmp	307.225959	311.214691	339.296873	300.634665	347.294546	371.339959	338.927894	334.093046
ENSMUSG00000001419	Mef2d	56.931764	58.82591	62.536426	62.53032	49.658635	50.789425	56.270645	57.97839
ENSMUSG00000001420	Tmem79	1.073967	0.425352	1.181852	0.135318	0.400049	0.680446	0.737284	0.470793
ENSMUSG00000001424	Snd1	86.005059	89.494013	87.311475	83.578879	92.565794	90.026903	79.825606	89.957982
ENSMUSG00000001435	Col18a1	11.208026	10.36517	21.173006	14.413784	74.573309	57.787284	48.505315	65.575395
ENSMUSG00000001436	Slc19a1	16.160673	14.756744	18.460346	15.905259	17.936171	20.252819	18.825974	20.829039
ENSMUSG00000001440	Kpnb1	176.537953	184.360802	172.821653	168.117808	209.758054	201.388731	223.496969	212.474657
ENSMUSG00000001441	Npepps	51.240179	52.961882	66.999691	48.938613	48.651035	48.12168	46.988344	46.337296
ENSMUSG00000001444	Tbx21	0	0	0	0	0	0.03684	0	0
ENSMUSG00000001445	Mrpl10	42.958367	39.926952	39.310511	42.054846	35.143584	37.390167	38.543534	39.413407
ENSMUSG00000001467	Cyp51	59.17716	53.57886	75.241393	45.806803	35.001906	42.124598	46.34339	42.629913
ENSMUSG00000001472	Tcf25	133.831059	135.271014	147.943286	180.926624	136.16231	144.623106	141.860737	139.216135
ENSMUSG00000001473	Tubb6	99.141689	106.460857	75.847724	130.325351	200.161887	168.786462	241.620907	214.702272
ENSMUSG00000001482	Def8	43.611973	41.754481	43.578942	37.60457	34.857224	32.738237	32.192171	34.097459
ENSMUSG00000001493	Meox1	0	0	0	0	0	0	0	0
ENSMUSG00000001494	Sost	0	0	0	0	0	0	0	0
ENSMUSG00000001496	Nkx2-1	0	0	0	0	0	0	0	0
ENSMUSG00000001497	Pax9	0	0	0	0	0	0	0	0
ENSMUSG00000001504	Irx2	0	0	0	0	0	0	0	0
ENSMUSG00000001506	Col1a1	0	0	0	0	0	0	0	0
ENSMUSG00000001507	Itga3	0.021836	0.107482	0.171517	0.151873	0.791322	0.037704	0.216519	0.060081
ENSMUSG00000001508	Sgca	0	0	0	0	0	0	0	0
ENSMUSG00000001510	Dlx3	0	0	0	0	0	0	0	0
ENSMUSG00000001517	Foxm1	89.767129	86.34016	85.236225	101.210632	94.485633	94.266065	88.184639	86.162883
ENSMUSG00000001518	Itfg2	7.163661	8.770178	11.383118	6.822972	7.671698	9.251995	9.400859	8.271126
ENSMUSG00000001520	Nrip2	0	0	0	0	0	0	0	0
