gene_id	gene_name	KO.F_1	KO.F_2	KO.M_1	KO.M_2	WT.F_1	WT.F_2	WT.M_1	WT.M_2
ENSMUSG00000000278	Scpep1	2974	3735	2862	3820	4579	4140	3034	3510
ENSMUSG00000000282	Mnt	1293	1565	1186	1514	1408	1298	967	1188
ENSMUSG00000000290	Itgb2	20866	25085.999	19962	20216	16111	13874	12741	14498.001
ENSMUSG00000000295	Hddc2	128	146	82	128.001	198	164	138	174
ENSMUSG00000000296	Tpd52l1	1	1	0	0	0	0	0	0
ENSMUSG00000000301	Pemt	37	41	48	40	63.001	68	40	56
ENSMUSG00000000303	Cdh1	518	633	802	407	98	57	48	61
ENSMUSG00000000305	Cdh4	0	0	1	0	0	0	1	0
ENSMUSG00000000308	Ckmt1	0	0	0	0	0	0	0	0
ENSMUSG00000000317	Bcl6b	11	8	13	6	7	10	9	11
ENSMUSG00000000318	Clec10a	82.259	100.84	29.975	67.597	147.636	66.43	34.258	66
ENSMUSG00000000320	Alox12	0	1	0	0	0	0	0	0
ENSMUSG00000000325	Arvcf	48	50	22	84.001	119	95	74	76
ENSMUSG00000000326	Comt	1555	1739.001	1359	1768	1472	1349	1307	1307.999
ENSMUSG00000000339	Rtca	498	636.001	521	604	684	570	525	578
ENSMUSG00000000340	Dbt	351	436	365	476	577	507	449	424
ENSMUSG00000000346	Dazap2	7153.999	8614	6599	8331	7693	7143	5855	6649
ENSMUSG00000000355	Mcts1	426.001	565	407.001	559	565.001	450.001	433.999	434
ENSMUSG00000000359	Rem1	0	1	2	0	1	0	0	0
ENSMUSG00000000365	Rnf17	19.001	35.999	14	19	54	55	17	33
ENSMUSG00000000374	Trappc10	2468	2995	2826	2642	3070	2760	2419	2705.001
ENSMUSG00000000378	Ccm2	689	911	746	867.999	852	766.999	659.999	718.001
ENSMUSG00000000381	Wap	0	0	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	904	1178.002	976.999	977.999	1309	1096.002	1168.999	1172
ENSMUSG00000000385	Tmprss2	0	0	0	0	0	0	0	0
ENSMUSG00000000392	Fap	0	0	4	1	3	2	0	3
ENSMUSG00000000394	Gcg	0	0	0	0	0	0	0	0
ENSMUSG00000000399	Ndufa9	1036	1290	965.999	1213	1562	1247	1216	1328
ENSMUSG00000000402	Egfl6	0	0	0	0	0	0	0	0
ENSMUSG00000000409	Lck	2	2	0	1	13	5	2	1
ENSMUSG00000000411	Tssk3	0	0	0	0	1	1	0	0
ENSMUSG00000000416	Cttnbp2	0	0	0	0	0	0	0	0
ENSMUSG00000000420	Galnt1	2213	2738	2048	2463	2470	2228.001	1916.999	2052
ENSMUSG00000000435	Myf5	0	0	0	0	0	0	0	0
ENSMUSG00000000439	Mkrn2	474	585	516	581	696.999	618	505	556
ENSMUSG00000000440	Pparg	211	311	247	316	467	303	256	276
ENSMUSG00000000441	Raf1	1912.999	2237	2262	2228	2145	1983.001	1804.001	1962.001
ENSMUSG00000000486	Sept1	6	14	11	16	8	8	7	4
ENSMUSG00000000489	Pdgfb	1822	2074	968.001	2073.999	1788	1588	1645	1717
ENSMUSG00000000530	Acvrl1	499	607	510	556	621	504	479	538
ENSMUSG00000000531	Grasp	18	18	8	13	27	14	23	21
ENSMUSG00000000532	Acvr1b	1061	1361	1088	1163	1147	966	889	1096
ENSMUSG00000000538	Tom1l2	463	643.001	474	589.999	669.999	584	522	615.999
ENSMUSG00000000544	Gpa33	0	0	0	0	0	0	0	0
ENSMUSG00000000552	Zfp385a	2107	2426	2097.999	1896	1560	1448	1365	1554.001
ENSMUSG00000000555	Itga5	4370.001	5344.001	5531	4332	5983	5063	5746	6653.999
ENSMUSG00000000560	Gabra2	0	0	0	0	0	0	0	0
ENSMUSG00000000561	Wdr77	1013	1272.001	1033	998	1308.001	1095.001	1140.999	1336.001
ENSMUSG00000000562	Adora3	129	123	157.999	76.001	69	81.494	100	73
ENSMUSG00000000563	Atp5f1	3709	4304.001	3524.001	4389.999	4988	4335	3990	4057
ENSMUSG00000000567	Sox9	0	0	0	0	0	1	0	2
ENSMUSG00000000568	Hnrnpd	3506.999	4336	3545.999	4078.001	4061.001	3719.999	3190.001	3372
ENSMUSG00000000579	Dynlt1c	197.799	217.643	232.894	253.127	214.319	96.323	138.243	233.026
ENSMUSG00000000581	C1d	644	797.999	692.999	774	884.999	805	690	738
ENSMUSG00000000594	Gm2a	9104	10212	8692	7739	4684	4254	3485	3978
ENSMUSG00000000600	Krit1	772.001	1041	927.001	872.998	895.001	753.999	622.001	683.001
ENSMUSG00000000605	Clcn4	1681.001	1902	1907	1713	1736	1566.998	1488.001	1610.998
ENSMUSG00000000606	Vmn2r88	0	0	0	0	0	0	0	0
ENSMUSG00000000617	Grm6	0	0	0	0	0	0	0	0
ENSMUSG00000000627	Sema4f	0	0	2	0	1	0	0	2
ENSMUSG00000000628	Hk2	1988	2384	2156	1827	1756	1626	1396	1660
ENSMUSG00000000631	Myo18a	1612	1864.999	1967	1860	1918	1778	1605.999	1733
ENSMUSG00000000632	Sez6	0	0	0	0	0	0	0	0
ENSMUSG00000000673	Haao	314	327	268	329.999	145	177.999	143	121
ENSMUSG00000000682	Cd52	5022	6046	4856	5473	3589	3606.999	2866	2649
ENSMUSG00000000686	Abhd15	591	506	722	566	240	349	194	193
ENSMUSG00000000690	Hoxb6	0	0	0	0	0	0	0	0
ENSMUSG00000000693	Loxl3	63	72	41	70	135	107.999	74	80
ENSMUSG00000000701	Tcl1b5	0	0	0	0	0	0	0	0
ENSMUSG00000000706	Btn1a1	0	0	0	0	0	0	0	0
ENSMUSG00000000708	Kat2b	1070	1351	1072	1265	1483	1251	1008	1193
ENSMUSG00000000711	Rab5b	2887	3399	2823	3151	2995	2854	2432	2747
ENSMUSG00000000724	Cryba1	0	0	0	0	0	0	0	0
ENSMUSG00000000730	Dnmt3l	54	50	79	51.999	96	79.999	113	99
ENSMUSG00000000731	Aire	0	1	1	0	0	0	0	0
ENSMUSG00000000732	Icosl	1247.999	1540	1198	1331	810.999	768	718.999	712
ENSMUSG00000000738	Spg7	1039	1272.001	1248.999	1429.998	1307	1234	873	999.999
ENSMUSG00000000739	Sult5a1	0	0	0	0	0	0	0	0
ENSMUSG00000000740	Rpl13	12584	15700	11154.999	14846	14720.999	12994	11452	11727
ENSMUSG00000000743	Chmp1a	1906	2084	1844	1927	2345	1984	1780	1991
ENSMUSG00000000751	Rpa1	3684	4486	3619	4395	4851	4247.001	3638.001	3759.001
ENSMUSG00000000753	Serpinf1	4	5	2	1	9	4	7	9
ENSMUSG00000000759	Tubgcp3	1132	1401	1190.001	1460.001	1359.001	1283.001	1071.001	1096.001
ENSMUSG00000000766	Oprm1	0	0	0	0	0	0	0	0
ENSMUSG00000000776	Polr3d	229.001	330	225.999	269.999	464	337.999	370	383
ENSMUSG00000000782	Tcf7	0	1	1	1	1	0	2	0
ENSMUSG00000000787	Ddx3x	8982	10721	8570.999	10229	11513	9937	8921.999	9449
ENSMUSG00000000791	Il12rb1	14	31	6	7	23	37	13	15
ENSMUSG00000000792	Slc5a5	0	0	0	0	1	0	0	0
ENSMUSG00000000794	Kcnn3	0	0	0	0	0	0	0	0
ENSMUSG00000000804	Usp32	854	978	913	955	1073	1031	766	918
ENSMUSG00000000805	Car4	0	0	0	0	0	0	0	0
ENSMUSG00000000811	Txnrd3	67	70	48	73	136	95	108	111
ENSMUSG00000000817	Fasl	0	0	0	0	0	1	0	0
ENSMUSG00000000823	Zfp512b	485.001	631	574	596	661	583.999	508	549
ENSMUSG00000000826	Dnajc5	2675	3280	2849	2962.001	3184.001	3016	2474	2830.999
ENSMUSG00000000827	Tpd52l2	905	1066	876.999	955	1092	988.001	858	993.001
ENSMUSG00000000838	Fmr1	1152.029	1348.439	1169.193	1354.408	1335.387	1185.926	1023.053	1015.04
ENSMUSG00000000861	Bcl11a	13	11	4	6	11	4	0	0
ENSMUSG00000000869	Il4	0	0	0	0	0	0	0	0
ENSMUSG00000000876	Pxmp4	300	379	222	335	326	324	228	258
ENSMUSG00000000881	Dlg3	31	28	43	26	35	49	27	29
ENSMUSG00000000884	Gnb1l	44	66.109	41.103	72.287	93.501	68	60.429	63.999
ENSMUSG00000000889	Dbh	0	0	0	0	0	0	0	0
ENSMUSG00000000901	Mmp11	0	0	1	2	6	11	5	4
ENSMUSG00000000902	Smarcb1	1089	1367.001	982.001	1174.999	1309	1208.074	1089	1109
ENSMUSG00000000903	Vpreb3	0	0	0	0	0	0	0	0
ENSMUSG00000000915	Hip1r	20	28	15	37	47	18	19	19
ENSMUSG00000000916	Nsun5	205	302	260.001	245	289	253	265.001	255
ENSMUSG00000000934	Top1mt	119	110	85	131	164	151	147	123
ENSMUSG00000000938	Hoxa10	0	0	0	0	0	0	0	0
ENSMUSG00000000942	Hoxa4	11	15	22	15	20	21	6	16
ENSMUSG00000000948	Gm38393	0	0	0	0	0	0	0	0
ENSMUSG00000000957	Mmp14	175	421	104	303	206	370	306.001	436.999
ENSMUSG00000000958	Slc7a7	314	328	268.999	301	356	344.999	347	360
ENSMUSG00000000959	Oxa1l	840	1063	848	1290	1118	1038.999	881	837
ENSMUSG00000000976	Heatr6	785.999	996.999	893	867	1030	872	817	819
ENSMUSG00000000982	Ccl3	135	230	111	286	1228	921	876	779
ENSMUSG00000000983	Wfdc18	0	4	1	0	0	0	2	0
ENSMUSG00000001014	Icam4	7	3	3	5	3	9	3	4
ENSMUSG00000001016	Ilf2	1268.001	1481	1248.001	1411	1688.001	1397	1405	1347
ENSMUSG00000001017	Chtop	1817.001	2080.001	1919.001	2123	2117	1974.001	1633	1662.001
ENSMUSG00000001018	Snapin	647	738.001	587	825	725.999	763.001	644	646.999
ENSMUSG00000001020	S100a4	21270	25194	26653.537	19877.564	21137.468	17849	15025	15118
ENSMUSG00000001021	S100a3	0	1	3	0	1	2	2	1
ENSMUSG00000001023	S100a5	1	1	0	0	0	2	0	2
ENSMUSG00000001025	S100a6	6962	7830.999	7421	6899	6566.999	5393.999	4649	5118
ENSMUSG00000001027	Scn4a	4	0	1	0	0	0	0	0
ENSMUSG00000001029	Icam2	206	344	185	221.001	362	258	199	235
ENSMUSG00000001034	Mapk7	669.001	873.001	761.999	858	733	657	529	590.001
ENSMUSG00000001036	Epn2	6	11	4	15	56	58	36	49
ENSMUSG00000001039	B9d1	14	12	1	15	32	21	29	28
ENSMUSG00000001052	Sec24b	2309	2758	2087.001	2646.999	2641	2426	2009	2343.999
ENSMUSG00000001053	N4bp3	288	294	258	278	132	144	114	139
ENSMUSG00000001054	Rmnd5b	971.001	1137	919	1059.001	687	586	523.999	542.001
ENSMUSG00000001056	Nhp2	1023	1315	932	1127	1743	1331	1472	1401
ENSMUSG00000001062	Vps9d1	760	994.002	800	667	624	561.999	511.999	530.999
ENSMUSG00000001065	Zfp276	617	728.999	557	597	506	499.001	447	494.999
ENSMUSG00000001076	C1ql4	0	0	0	0	2	0	0	0
ENSMUSG00000001082	Mfsd10	1048.999	1420	1084.999	1174.998	1159.001	1064.999	961	1022
ENSMUSG00000001089	Luzp1	1894	2052	2815.999	2340	2617.001	3047.001	3003.001	3084.001
ENSMUSG00000001095	Slc13a2	12	16	7	5	14	17	7	9
ENSMUSG00000001098	Kctd10	1949	2351.002	1936	2205	2289.999	1947	1891	1947
ENSMUSG00000001100	Poldip2	559	682	492	643.999	815	646	661	678
ENSMUSG00000001103	Sebox	0	0	0	0	0	0	0	0
ENSMUSG00000001105	Ift20	328	393.999	323	339	393	369	342	366
ENSMUSG00000001119	Col6a1	0	0	0	0	0	0	0	0
ENSMUSG00000001120	Pcbp3	96.999	75	71	79	128	102	85	83
ENSMUSG00000001123	Lgals9	1476	1859	1452	1430	2502.001	2496	1471	1697.001
ENSMUSG00000001127	Araf	1108.999	1268	1020.999	1103	1039	938.999	884	875.999
ENSMUSG00000001128	Cfp	9936	13399	6544	8807	7650	7094	5935	5894
ENSMUSG00000001131	Timp1	44	33	33	31	57	34	38	40
ENSMUSG00000001134	Uxt	142	197.001	156.999	166	227	178	166	161
ENSMUSG00000001138	Cnnm3	662.001	804.001	733.999	802	707	740	495	604
ENSMUSG00000001143	Lman2l	817	859.001	820	890.001	829	742	665	752.999
ENSMUSG00000001150	Mcm3ap	1476	1778	1611	1522.001	1701	1626	1373	1457
ENSMUSG00000001151	Pcnt	1985.999	2460.999	2160	2687.999	2721.999	2474.999	1805.999	2094.999
ENSMUSG00000001155	Ftcd	0	0	0	0	0	0	0	0
ENSMUSG00000001156	Mxd1	283	393.999	257	329.999	334	284	212.999	231
ENSMUSG00000001157	Gmcl1	463	525	501	641	594	552	379	422
ENSMUSG00000001158	Snrnp27	389	479	352	498.001	598	522	460	465.001
ENSMUSG00000001166	Oas1c	73	86	83	86	100	105	68	74
ENSMUSG00000001168	Oas1h	0	0	0	0	0	0	0	0
ENSMUSG00000001173	Ocrl	850.999	1019	882.001	961.999	1141.001	1006	847.001	1002.999
ENSMUSG00000001175	Calm1	16671	20515.999	15629	19329	25788	21842.001	19771	21771
ENSMUSG00000001211	Agpat3	564	610	394.999	669	872.999	826	635.999	749.001
ENSMUSG00000001225	Slc26a3	0	0	0	0	0	0	0	0
ENSMUSG00000001227	Sema6b	654	796	566	793	750	670	598	664
ENSMUSG00000001228	Uhrf1	4052	5020	3653.999	5126	6208.999	5549.001	4193	4656.999
ENSMUSG00000001229	Dpp9	1835	2293	1879	2088.999	2349	1983.999	1788	2000
ENSMUSG00000001240	Ramp2	1	0	0	0	1	3.336	1	0
ENSMUSG00000001247	Lsr	951.999	1105.999	1266.999	1244	205.999	153	113.999	149.999
ENSMUSG00000001248	Gramd1a	1267.999	1493.999	1431.999	1704	1488.999	1545	1190	1262.001
ENSMUSG00000001249	Hpn	7	5	7	1	7	9	10	8
ENSMUSG00000001260	Gabrg1	0	0	0	0	0	0	0	0
ENSMUSG00000001270	Ckb	7390	8786	6149	8432.001	13357	10487	10432	9685
ENSMUSG00000001280	Sp1	3198	3858	3292	4148	3540.001	3319.001	2630	2833.999
ENSMUSG00000001281	Itgb7	15963	18798.001	16247.001	12792.001	6169	4352	3213	3555
ENSMUSG00000001285	Myg1	548.538	607.106	452.195	624.759	699.218	655.726	550.536	594.604
ENSMUSG00000001288	Rarg	841	1081	769	692	426	346	319	347
ENSMUSG00000001289	Pfdn5	1360.461	1713.893	1264.806	1682.239	1584.784	1427.274	1275.466	1318.397
ENSMUSG00000001300	Efnb2	5	6	9	1	4	5	3	4
ENSMUSG00000001305	Rrp15	351	465	310	379	515	420	398	419
ENSMUSG00000001313	Rnd2	40	45	62	67	85	47	58	54
ENSMUSG00000001323	Srr	174.001	198	157	237.999	243	187	135	182
ENSMUSG00000001333	Sync	0	0	0	0	0	0	0	0
ENSMUSG00000001334	Fndc5	0	0	0	0	0	0	0	0
ENSMUSG00000001348	Acp5	322	294.999	299	172	198	159	91	194
ENSMUSG00000001349	Cnn1	0	0	0	0	0	0	0	0
ENSMUSG00000001366	Fbxo9	359.999	463.001	439	391	416	406	358.001	376
ENSMUSG00000001376	Vps50	882	1111.001	916	863.999	1232	1108	1003	900.999
ENSMUSG00000001380	Hars	1476.001	1926.001	1565	1579	2206	2074.001	1846	1863
ENSMUSG00000001383	Zmat2	1191	1515	1162	1516	1648	1335	1244	1236
ENSMUSG00000001403	Ube2c	2107	2494	1816	2588	2928	2530	2388	2453
ENSMUSG00000001415	Smg5	1789.001	2336	2120.999	1853.001	2338.001	2157	1970	1967
ENSMUSG00000001416	Cct3	2968	3724	2780	3026.002	4539.001	3700.001	3505	3896.999
ENSMUSG00000001418	Glmp	2513	2922.001	2665	2833	3542	3184	2616.001	2870.001
ENSMUSG00000001419	Mef2d	2176.001	2691.999	2293	2135.001	2140	1976	1924	2121.001
ENSMUSG00000001420	Tmem79	14	10	18	3	10	15	8	7
ENSMUSG00000001424	Snd1	2919.999	3702	2920	3141.999	4047	3493	2713.999	3283.999
ENSMUSG00000001435	Col18a1	513	616	1052	726	4532.001	3128	2396	3347
ENSMUSG00000001436	Slc19a1	304.999	373	298.001	374	431	426	365	386.999
ENSMUSG00000001440	Kpnb1	9330.001	11432.001	8947.001	10427	14196	12495.999	11322	12138.999
ENSMUSG00000001441	Npepps	1848	2221.998	2170	1886	2167	1904.001	1666	1772
ENSMUSG00000001444	Tbx21	0	0	0	0	0	1	0	0
ENSMUSG00000001445	Mrpl10	676	759	622	761	717	673	612	667
ENSMUSG00000001467	Cyp51	2217	2372.001	2639.999	1881.999	1677	1729	1731	1705
ENSMUSG00000001472	Tcf25	3606.001	4465	3792.999	4223.999	4462.998	3885	3456.999	3906
ENSMUSG00000001473	Tubb6	1611	2110	1238	2434	4217	3137	3959	3752
ENSMUSG00000001482	Def8	1301.999	1498	1324	1305.001	1199.999	1106	923	1071.001
ENSMUSG00000001493	Meox1	0	0	0	0	0	0	0	0
ENSMUSG00000001494	Sost	0	0	0	0	0	0	0	0
ENSMUSG00000001496	Nkx2-1	0	0	0	0	0	0	0	0
ENSMUSG00000001497	Pax9	0	0	0	0	0	0	0	0
ENSMUSG00000001504	Irx2	0	0	0	0	0	0	0	0
ENSMUSG00000001506	Col1a1	0	0	0	0	0	0	0	0
ENSMUSG00000001507	Itga3	1	6	8	8	12	2	10	3
ENSMUSG00000001508	Sgca	0	0	0	0	0	0	0	0
ENSMUSG00000001510	Dlx3	0	0	0	0	0	0	0	0
ENSMUSG00000001517	Foxm1	2911.999	3406.001	2867	4081.001	4113.001	3673.999	2999.994	3155.001
ENSMUSG00000001518	Itfg2	164	240.001	172.001	176	211	189	201	146.001
ENSMUSG00000001520	Nrip2	0	0	0	0	0	0	0	0
ENSMUSG00000001521	Tulp3	183	173	158	188	308	295	232	277
ENSMUSG00000001524	Gtf2h4	287	395	275	358	434	323	277	329.999
ENSMUSG00000001525	Tubb5	24331	29256	19998	39447	40949	35830.999	28602	30749.757
ENSMUSG00000001542	Ell2	1064	1317.001	1169	1335.001	3932	3087	3225	3760
ENSMUSG00000001552	Jup	239	291	91	369	299	208	157	106
ENSMUSG00000001555	Fkbp10	0	0	0	0	0	0	0	0
ENSMUSG00000001558	Klhl10	0	1	0	1	0	0	2	0
ENSMUSG00000001566	Mnx1	0	0	0	0	0	0	0	0
ENSMUSG00000001569	Nom1	749	1022	728	857	1046	878	762	940
ENSMUSG00000001576	Ergic1	1922	2076	1573.001	2293.999	3835	3236	3088.999	3451
ENSMUSG00000001583	Tnk1	0	0	0	0	0	0	0	0
ENSMUSG00000001588	Acap1	610	774	908	1176	397	565	537	465.999
ENSMUSG00000001604	Tcea3	22	34	27	6	15	18	7	8
ENSMUSG00000001622	Csn3	0	0	0	0	0	0	0	0
ENSMUSG00000001627	Ifrd1	829	1013	804	934.001	1420	987.001	1354	1384
ENSMUSG00000001630	Stk38l	278	317	347	392	371	448	442	361
ENSMUSG00000001632	Brpf1	2614	3347.001	2744.001	2757	2731.001	2442	2263.001	2531.999
ENSMUSG00000001642	Akr1b3	3592	4298.999	3826	3465.999	4440	3867.001	3333	3660
ENSMUSG00000001655	Hoxc13	0	0	0	0	0	0	0	0
ENSMUSG00000001656	Hoxc11	0	0	0	0	0	0	0	0
ENSMUSG00000001657	Hoxc8	0	0	0	0	0	0	0	0
ENSMUSG00000001661	Hoxc6	0	0	0	0	1	0	0	0
ENSMUSG00000001663	Gstt1	2	1	6	2	6	6	3	2
ENSMUSG00000001665	Gstt3	197.14	216.999	207.916	296	218.775	210.866	171.999	137
ENSMUSG00000001666	Ddt	215.88	276	230.879	318	307.738	301.843	248	262
ENSMUSG00000001670	Tat	0	0	0	0	0	0	0	0
ENSMUSG00000001672	Marveld3	0	0	0	0	0	0	0	0
ENSMUSG00000001674	Ddx18	1004	1191	990	1045	1345	1194	1150	1177.001
ENSMUSG00000001687	Ubl3	3272	4066	4317	3944.999	3355.999	2711.999	2239.001	2393.001
ENSMUSG00000001700	Gramd3	71	79	41	116	218	239	190	187
ENSMUSG00000001707	Eef1e1	371.999	466	337	416	677.999	566	554	537
ENSMUSG00000001729	Akt1	6808	8386.999	6856.001	7029	7948	6923.999	6486	7064.001
ENSMUSG00000001739	Cldn15	4	11	8	5	0	4	2	0
ENSMUSG00000001741	Il16	1039	1177.001	1027	1000	446	405	277	277
ENSMUSG00000001750	Tcirg1	5205	6643.001	6681.998	6462.999	7767	7270	6155.001	6973
ENSMUSG00000001751	Naglu	980	1241.999	1118	1245	1217.001	1294	931	1062
ENSMUSG00000001755	Coasy	378	518	467.001	485	534	501.001	417	498
ENSMUSG00000001761	Smo	0	4	0	1	6	7	3	1
ENSMUSG00000001763	Tspan33	17	32	11	10	19	9	16	7
ENSMUSG00000001767	Crnkl1	767	881	729	762	884	690	683	676
ENSMUSG00000001768	Rin2	2907	3687	2652	3330	2225	2001	1616	1856
ENSMUSG00000001773	Folh1	0	0	0	0	0	0	0	0
ENSMUSG00000001774	Chordc1	1055	1224	1173.001	1146	1405.999	1235.001	1096.001	1131.001
ENSMUSG00000001783	Rtcb	1717	2082	1703	2151	2527	2260	2102	2166
ENSMUSG00000001785	Pwp1	822	927	686	884	1115	1051	996	1011
ENSMUSG00000001786	Fbxo7	334.001	384	354	379.999	378.999	316	296.999	344.999
ENSMUSG00000001794	Capns1	7140.999	8540.001	7306	7336	7714.999	6813	6111	6697
ENSMUSG00000001802	Lrp3	0	0	0	0	0	0	0	0
ENSMUSG00000001804	Dsg4	0	0	0	0	0	0	0	0
ENSMUSG00000001815	Evx2	0	0	0	0	0	0	0	0
ENSMUSG00000001819	Hoxd13	0	0	0	0	0	0	0	0
ENSMUSG00000001823	Hoxd12	0	0	0	0	0	0	0	0
ENSMUSG00000001827	Folr1	3	3	1	3	14	12	1	11
ENSMUSG00000001829	Clpb	579	655	520	618	908.001	771.999	744.999	732
ENSMUSG00000001833	Sept7	3592	4280.001	3558.001	4033	4964	4207	3974.999	4100
ENSMUSG00000001844	Zdhhc4	388.001	418.999	374	454.999	370.999	330.002	264.001	317
ENSMUSG00000001847	Rac1	10278	12257	10475	11521	13386	11417.999	9988.001	10680
ENSMUSG00000001855	Nup214	2097.999	2543	2013	2349	2753.001	2453	2038	2303.998
ENSMUSG00000001864	Aif1l	0	0	0	0	0	0	0	0
ENSMUSG00000001865	Cpa3	0	2	0	0	0	1	0	0
ENSMUSG00000001870	Ltbp1	1	3	12	0	3	0	0	1
ENSMUSG00000001891	Ugp2	1957.999	2218	1912	2354	2313	2138	1847	2138
ENSMUSG00000001901	Kcnh6	0	0	0	0	0	0	0	0
ENSMUSG00000001909	Trmt1	825.999	1045.999	722.001	1055.999	1147.001	1053	904.998	928
ENSMUSG00000001910	Nacc1	2645.999	3180	2568	3120	3517.999	3167	2725	3102
ENSMUSG00000001911	Nfix	653	734	684	537	221.999	265.999	179.001	203
ENSMUSG00000001918	Slc1a5	1509	1285.001	1106.999	1480.001	1059.001	916	1167	931
ENSMUSG00000001924	Uba1	7121	9096.999	7118.999	7269	8804	8117	7434	7770.999
ENSMUSG00000001930	Vwf	400.001	531	527	973.001	1195.001	790	481	741
ENSMUSG00000001942	Siae	939.001	997	897	1146	1272	1107	888	1028
ENSMUSG00000001943	Vsig2	0	0	0	0	0	0	0	0
ENSMUSG00000001946	Esam	12	3	28	2	3	1	8	3
ENSMUSG00000001948	Spa17	4	4	6	16	8	11	5	7
ENSMUSG00000001962	Fam50a	915	1100	963	1065	1074	1057	849	910
ENSMUSG00000001964	Emd	940.41	1199.153	819.127	1159.2	1154.995	1063.706	962.628	1001.473
ENSMUSG00000001983	Taco1	153	182	149	185	248	212	199	223
ENSMUSG00000001985	Grik3	0	0	0	0	0	0	0	0
ENSMUSG00000001986	Gria3	5	16	8	12	15	20	8	6
ENSMUSG00000001988	Npas1	0	0	0	0	3	0	0	0
ENSMUSG00000001995	Sipa1l2	2713	3162	2771	2459	2149	1977	1787	2128
ENSMUSG00000001998	Ap4e1	466	535	392	549	615	579.001	482	561
ENSMUSG00000001999	Blvra	1002	1216.999	1016	1231	1854	1479	1236	1416
ENSMUSG00000002006	Pdzd4	6	3	3	5	6	10	3	4
ENSMUSG00000002007	Srpk3	1	2	1	5	6	7	3	2
